,beds,baths,price,size_numeric,price_per_sqft,bed_bath_ratio,is_apartment,is_villa,is_land
beds,2.59081162739699,1.7976413830072364,6710168.9898309,-10023.14409461489,262711871800.25775,380912.3731313683,0.2149192271143492,0.30363538900124276,-0.5415560049706393
baths,1.7976413830072364,2.4665578324114916,5051450.909746959,-7665.162357863119,-307627110167.0422,-738577.8082588048,0.07307326819521939,0.24727711313077175,-0.38467629931044567
price,6710168.9898309,5051450.909746959,180785522789583.78,103734758355.7322,4.0338626852431846e+18,1632138502673.2744,31075.303986258426,353405.7690626445,-802056.2579213472
size_numeric,-10023.14409461489,-7665.162357863119,103734758355.7322,2416538113.6846533,-1389136489702745.8,-1659003024.204129,-2535.7062862046764,-902.0885539583785,517.2175320031469
price_per_sqft,262711871800.25775,-307627110167.0422,4.0338626852431846e+18,-1389136489702745.8,6.916610165822634e+24,6.025422421272832e+17,-94067795614.95702,130508475482.85959,-27966103517.243965
bed_bath_ratio,380912.3731313683,-738577.8082588048,1632138502673.2744,-1659003024.204129,6.025422421272832e+17,1194926383919.234,156441.18202505758,-3813.1751667405983,-117589.89408449475
is_apartment,0.2149192271143492,0.07307326819521939,31075.303986258426,-2535.7062862046764,-94067795614.95702,156441.18202505758,0.2506274213591287,-0.09375989863794743,-0.1352306230355011
is_villa,0.30363538900124276,0.24727711313077175,353405.7690626445,-902.0885539583785,130508475482.85959,-3813.1751667405983,-0.09375989863794743,0.14887551472917324,-0.040520455154601495
is_land,-0.5415560049706393,-0.38467629931044567,-802056.2579213472,517.2175320031469,-27966103517.243965,-117589.89408449475,-0.1352306230355011,-0.040520455154601495,0.19370873029409622
