url,beds,city,date,size,type,baths,price,neighborhood,size_numeric,price_per_sqft,bed_bath_ratio,is_apartment,is_villa,is_land
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vakalapudi-kakinada-165-sq-ft-spid-J78732827,4.0,Kakinada,2mo ago,165 sqft,Luxury Villa,5,10000000.0,Vakalapudi,165.0,60606.06023875115,0.799999840000032,0,1,0
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sasikanth-nagar-kakinada-28800-sq-ft-spid-O80294923,5.0,Kakinada,4d ago,2304 sqft,Luxury Villa,5,20000000.0,Sasikanth Nagar,2304.0,8680.555551787953,0.99999980000004,0,1,0
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sasikanth-nagar-kakinada-2400-sq-ft-spid-O80266555,4.0,Kakinada,6d ago,230 sqft,Luxury Villa,5,20000000.0,Sasikanth Nagar,230.0,86956.5213610586,0.799999840000032,0,1,0
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ramanayapeta-kakinada-3150-sq-ft-spid-X80181911,5.0,Kakinada,1w ago,3150 sqft,Luxury Villa,5,25000000.0,Ramanayapeta,3150.0,7936.5079339884105,0.99999980000004,0,1,0
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-atchampeta-kakinada-2600-sq-ft-spid-F79579347,3.0,Kakinada,2025-01-19,2600 sqft,Villa,5,16500000.0,Atchampeta,2600.0,6346.153843713018,0.599999880000024,0,1,0
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-kovvada-kakinada-1800-sq-ft-spid-W79454185,3.0,Kakinada,2025-01-19,1800 sqft,Villa,2,11600000.0,Kovvada,1800.0,6444.4444408641975,1.499999250000375,0,1,0
https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-madhavapatnam-kakinada-350-sq-ft-r1-spid-A76438401,2.0,Kakinada,2025-01-19,350 sqft,Villa,1,5500000.0,Madhavapatnam,350.0,15714.285669387755,1.9999980000020001,0,1,0
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sbi-employees-colony-kakinada-1283-sq-ft-spid-J78764367,3.0,Kakinada,2025-01-19,1368 sqft,Villa,3,6900000.0,SBI Employees Colony,1368.0,5043.859645435775,0.9999996666667778,0,1,0
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vakalapudi-kakinada-165-sq-ft-spid-J78732827,4.0,Kakinada,2025-01-19,165 sqft,Villa,5,10000000.0,Vakalapudi,165.0,60606.06023875115,0.799999840000032,0,1,0
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-sasikanth-nagar-kakinada-28800-sq-ft-spid-O80294923,5.0,Kakinada,2025-01-19,2304 sqft,Villa,4,20000000.0,Sasikanth Nagar,2304.0,8680.555551787953,1.249999687500078,0,1,0
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-rameswaram-kakinada-1450-sq-ft-spid-G80269003,3.0,Kakinada,2025-01-19,1450 sqft,Villa,2,5800000.0,Rameswaram,1450.0,3999.999997241379,1.499999250000375,0,1,0
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-sasikanth-nagar-kakinada-2400-sq-ft-spid-O80266555,4.0,Kakinada,2025-01-19,230 sqft,Villa,5,20000000.0,Sasikanth Nagar,230.0,86956.5213610586,0.799999840000032,0,1,0
https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-ramanayapeta-kakinada-3150-sq-ft-spid-X80181911,5.0,Kakinada,2025-01-19,3150 sqft,Villa,5,25000000.0,Ramanayapeta,3150.0,7936.5079339884105,0.99999980000004,0,1,0
https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ramanayapeta-kakinada-1422-sq-ft-spid-T80143813,4.0,Kakinada,2025-01-19,1422 sqft,Villa,2,8000000.0,Ramanayapeta,1422.0,5625.879039644248,1.9999990000005,0,1,0
https://www.99acres.com/residential-land-plot-for-sale-in-thagarapuvalasa-visakhapatnam-167-sq-yard-spid-I76078449,0.0,Visakhapatnam,2025-02-19T04:38:36.102Z,1503 sqft,Residential land / Plot,0,4676000.0,Thagarapuvalasa,1503.0,3111.111109041177,0.0,0,0,1
https://www.99acres.com/residential-land-plot-for-sale-in-bheemili-visakhapatnam-140-sq-yard-spid-I76618949,0.0,Visakhapatnam,2025-02-19T04:38:36.102Z,1260 sqft,Residential land / Plot,0,3780000.0,Bheemili,1260.0,2999.9999976190475,0.0,0,0,1
https://www.99acres.com/rudra-seniors-madhurawada-visakhapatnam-npxid-r408482,2.0,Visakhapatnam,2025-02-19T04:38:36.102Z,990 - 1245 sqft,2 BHK Apartment,2,4940000.0,Madhurawada,990.0,4989.898984858688,0.99999950000025,1,0,0
https://www.99acres.com/vk-erica-madhurawada-visakhapatnam-npxid-r438076,3.0,Visakhapatnam,2025-02-19T04:38:36.102Z,1630 - 2190 sqft,3 BHK Apartment,3,9454000.0,Madhurawada,1630.0,5799.9999964417175,0.9999996666667778,1,0,0
https://www.99acres.com/the-celest-gajuwaka-visakhapatnam-npxid-r377188,2.0,Visakhapatnam,2025-02-19T04:38:36.102Z,823 - 1117 sqft,"2, 3 BHK Apartment",2,7501000.0,Gajuwaka,823.0,9114.216270821122,0.99999950000025,1,0,0
https://www.99acres.com/edara-twilight-park-shivaji-palem-visakhapatnam-npxid-r439018,3.0,Visakhapatnam,2025-02-19T04:38:36.102Z,2195 - 2650 sqft,3 BHK Apartment,3,18700000.0,Shivaji Palem,2195.0,8519.362182906896,0.9999996666667778,1,0,0
https://www.99acres.com/mvv-and-mk-park-gajuwaka-visakhapatnam-npxid-r331705,2.0,Visakhapatnam,2025-02-19T04:38:36.102Z,895 - 1050 sqft,2 BHK Apartment,2,3133000.0,Gajuwaka,895.0,3500.5586553066382,0.99999950000025,1,0,0
https://www.99acres.com/mvv-towers-yendada-visakhapatnam-npxid-r385012,2.0,Visakhapatnam,2025-02-19T04:38:36.102Z,1158 - 1474 sqft,"2, 3 BHK Apartment",2,6947000.0,Yendada,1158.0,5999.136436961022,0.99999950000025,1,0,0
https://www.99acres.com/rs-aurora-bay-bheemili-visakhapatnam-npxid-r411360,3.0,Visakhapatnam,2025-02-19T04:38:36.102Z,3503 - 6226 sqft,"3, 4, 5, 6 BHK Villa",3,29800000.0,Bheemili,3503.0,8506.994002709966,0.9999996666667778,0,1,0
https://www.99acres.com/residential-land-plot-for-sale-in-vennala-kochi-339-sq-yard-spid-D78423293,0.0,Kochi,3mo ago,3049 sqft,Residential land / Plot,0,12000000.0,Vennala,3049.0,3935.716627111933,0.0,0,0,1
https://www.99acres.com/residential-land-plot-for-sale-in-vennala-kochi-1162-sq-yard-spid-O79520349,0.0,Kochi,1mo ago,10454 sqft,Residential land / Plot,0,39600000.0,Vennala,10454.0,3788.023722614499,0.0,0,0,1
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-nagpal-sapphire-heights-vennala-kochi-1388-sq-ft-spid-D80169371,3.0,Kochi,1w ago,1388 sqft,3 BHK Flat,2,7500000.0,Nagpal Sapphire Heights,1388.0,5403.458209363503,1.499999250000375,1,0,0
https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-vennala-kochi-1375-sq-ft-spid-J79757557,3.0,Kochi,4w ago,1375 sqft,3 Bedroom House,3,7000000.0,Vennala,1375.0,5090.909087206611,0.9999996666667778,0,1,0
